id,Name,notes,consequence_type,consequence_positive_negative,consequence_communities,Actions_Timeline,linked_infrastructures,URL
3,Bizerte Lake Pollution,,biomarine pollution,,,Bizerte starts activities,Bizerte - Refinery,
4,"Strikes in Zarzaitine, Askaréne, Tin Fouyé, Tiguentiyrune and Ohanet",to check,social consequence,,,First drilling in Edjéléh,,
5,Val D'Agri Illicit Waste,,illicit Waste,,,,Centro Olio Val D'Agri,https://www.legambiente.it/news-storie/inchiesta-petrolio-in-basilicata
6,Water resource overexploitation for industry,"See Reconciling resource uses: Assessment of
the water-food-energy-ecosystems nexus
in the North Western Sahara Aquifer System",resource Depletion,,"Water resources from El Borma and Dehiba regions described as massively overexploited for petroleum industry use, diverting supply from local residential and agricultural needs. No compensatory water provision documented for affected communities.",,El Borma,http://localhost/database/177/table/742/3141/row/9
7,Toxic sludge lake formation,,"illicit Waste,soil contamination",,Black lake of oil waste visible on Google Maps satellite imagery since the 1970s. Pipes connecting the drilling field to the lake documented. 2018 video evidence of fresh sludge dumped directly into unsealed open pits by workers of a waste management subcontractor,,El Borma,https://meshkal.org/the-cost-of-oil-in-tunisias-desert/
8,Camel deaths and health impacts from petroleum waste cesspoolsnew,,ecosystem degradation,,"Mohamed Touzni, a named camel herder in Dhehiba, reported losing 14 camels after they fell into a petroleum waste cesspool similar to the Al Borma sludge lake.",,,
9,Groundwater (aquifer) contamination,,water pollution,,"Residents of petroleum-producing zones forced to consume and cook with unclean water. Tunisian government programmed a water quality improvement project for Dehiba under the 2017 Integrated Development Programme, but implementation has been slow.",,,https://www.lapresse.tn/2022/10/01/malediction-des-ressources-naturelles-a-tataouine-pollution-et-surexploitation-de-leau/
10,Gas flaring — CO₂ and toxic emissions,"Satellite data (Skytruth) shows 0.003 billion m³ flared at the Gabès station between 2012 and 2022, producing ~8,000 tonnes of CO₂. OMV's eight Tunisian fields emitted ~47,000 tonnes CO₂ in 2022 total. Flaring flame observed during field visit. OMV did not respond to press queries.","air pollution,health hazard",,"Satellite data (Skytruth) shows 0.003 billion m³ flared at the Gabès station between 2012 and 2022, producing ~8,000 tonnes of CO₂. OMV's eight Tunisian fields emitted ~47,000 tonnes CO₂ in 2022 total. Flaring flame observed during field visit. OMV did not respond to press queries.",Nawara gas and condensate field was discovered,"Nawara Central Processing Facility (CPF),Gas Treatment Plant - Gabes",https://daraj.media/en/burning-skies-how-european-companies-are-polluting-tunisias-air-by-flaring-gas/
11,Gas flaring — CO₂ and toxic emissions,"Total Flaring Volume: Approximately 1.2 billion cubic meters
CO₂ Emissions: 3.1 million tons","air pollution,health hazard",,Routine gas flares documented as releasing benzene — a known carcinogen linked to acute leukaemia and blood disorders (US EPA). Respiratory conditions including asthma and bronchitis reported among populations living near flaring sites.,,El Borma,https://daraj.media/en/burning-skies-how-european-companies-are-polluting-tunisias-air-by-flaring-gas/
12,Mercury contamination risk,,prospective risk,,"EIA submitted to the African Development Bank and EIB documents mercury concentrations in Nawara gas up to 70 ng/m³, designed to a 100 ng/m³ treatment threshold. Elimination via absorption cartridge filters. Production water directed to watertight evaporation pits; sewage transported to Tataouine treatment plant. (OMV EIA / AfDB, published via EIB)",,"Jinane,Nawara Central Processing Facility (CPF)",https://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/Tunisia_-_Nawara_Southern_Tunisian_Gas_Pipeline__-_ESIA_Executive_Summary.pdf
13,Biodiversity loss — protected area overlap,,ecosystem degradation,,"OMV Cherouq licence overlaps with Saghir–Jbil National Park, home to endangered Dorcas gazelle, fennec fox, and houbara bustard. YNG Exploration's Nefzaoua and Bir Abdallah licences overlap with three protected areas. Companies have not always acknowledged responsibility for oil spills.",,Cherouq,https://daraj.media/en/ecocide-project-biodiversity-in-tunisia-falls-victim-to-european-oil-companies/
15,Oil company trenches restricting camel grazing movemen,,"ecosystem degradation,resource Depletion",,"Oil companies have installed trenches delimiting the perimeter of drilling sites and access corridors, restricting the areas where camels can move to reach grazing land and water sources.",,,http://localhost/database/177/table/742/3141/row/7
17,Socio-environmental protest and resource extraction conflict,,social consequence,,"Apr–Jul 2017: El Kamour sit-in blocks sole petroleum field access road. Army deployed to protect sites. Agreement signed Jul 2017, only 33% implemented per IWatch 'Kamour Meter'. Renewed blockade threats in 2020.",,"El Borma,El Borma-Skhira - Pipeline",https://inkyfada.com/fr/2017/10/06/webdoc-tataouine-el-kamour-timeline/
18,Potential heavy metal bioaccumulation in dromedary camels (prospective),,prospective risk,,"Comparative evidence from peer-reviewed study on the same species (Camelus dromedarius) near petroleum industry sites in Saudi Arabia found elevated Pb, Cd, Ni, and V in soil and in camel milk, blood, muscle, liver and kidney. The biological exposure pathway (contaminated soil → forage → animal tissue → human consumption of milk and meat) is directly applicable to Tataouine given documented soil and water contamination at sites where ~11,000 dromedaries graze. Field investigation in Tunisia has not been conducted",,,
