id,Name,Notes,start_date,geographic_scope,Infrastructure,transactions,granted_to,granted_by
3,Permis du Sud 1960,,1961-01-01,Kmq. 1.812 - parte nord-occidentale della zona C rilasciata dalla Serept,"Makhrouga,Debbech,Laarich,Oued Zar,Oued Zar - El Borma,Makhrouga - Debbech - El Borma","Three Decrees by Secretariat d'Etat à l'Industrie et aux Transports for southern permits,PERMIS DU SUD Loi n° 60-12 du 26/07/1960,JORT n.6","SITEP,SODEPS,ETAP,ENI Tunisia BV",Tunisian Government
4,Sicilia,,,,Braemi 1 well,,,
5,Algeria,,,,,,,
6,El Borma,,1958-01-01,,"El Borma,In Amenas - El Borma - La Skhirra,Chouch Saida - El Borma",,SEREPT,Tunisian Government
7,El Borma 1960,,1960-01-01,,"El Borma,El Borma-Gabès,Oued Zar - El Borma,Makhrouga - Debbech - El Borma","Tripartite Agreement,El Borma Loi n°60-12 / 68-24/08/2010",SITEP,Tunisian Government
8,Tunisie Centre Nord 1965,,1965-01-01,Kmq. 11,"Djebel Douleb,Djebel Semmama,Djbel Tamesmida",Tunisie Centre Nord Exploration Convention,"ETAP,SEREPT",Tunisian Government
9,Sfax-Kerkennah 1972,,1976-01-01,,"Sidi Litaiem - Skhirra Pipeline,Sidi Litaiem,Sidi Baharat","Sfax Kerkennah Concession,Sidi Litaiem JORT Decree n.35,Sidi Bahara JORT Decree n.35,Decree 4581-2014 for illicit extension Sidi Bahara & Litaiem",CFTP,Tunisian Government
10,'Bir Aouine 1978,,1978-01-01,,"Djebel Grouz,Sanhar oil field","DJEBEL GROUZ Décret loi 2022-41 du 17/06/2022,Jort n.44 - Sanhar,Jort n.87 - Djebel Grouz","SITEP,ETAP",Tunisian Government
11,Borj El Khadra,,2003-01-01,,"Adam,Abir,Bochra","JORT n.52,Borj El Khadra  Loi n° 91-5 du 11/2/91,Jort n.120 Abir & Bochra",ENI Tunisia BV,ETAP
13,Jenein Nord 1996,,2017-01-01,,"Jinane,South Tunisia Gas Project Pipeline","Jort n.43 Jinane,Jenein Nord  Loi n° 96-106 du 09/12/1996","ETAP,OMV",Tunisian Government
14,Permis du Sud 1972,,1978-01-01,,"Chouech Essaida,Chouch Saida - El Borma",PERMIS DU SUD Loi n° 60-12 du 26/07/1960,Winstar,Tunisian Government
16,Jenein Sud 2004,,2004-05-13,,"Nawara,Benefsej Sud,Aziza,Shalbia","Jenein Sud  Décret n° 2004-1105 du  13/05/2004,Jort n.17 Nawara,JORT n.95 Aziza,JORT n.84 Shalbia","ETAP,OMV",Tunisian Government
